# of predictors,i,predictors,fold,mcc
2,87,3|7,3,0.22396542957264567
2,87,3|7,4,0.44428376033959704
2,88,2|10,0,0.23656434967884324
2,88,2|10,1,0.15502233453008338
2,88,2|10,2,0.2715910030152478
2,88,2|10,3,0.23904572186687872
2,88,2|10,4,0.37809329967394323
2,89,1|5,0,0.38898363554390464
2,89,1|5,1,0.2937594193904019
2,89,1|5,2,0.3981381186150431
2,89,1|5,3,0.3535533905932738
2,89,1|5,4,0.42783475900050916
2,90,7|9,0,0.2870165128772088
2,90,7|9,1,0.20519498058335356
2,90,7|9,2,0.3683628304938625
2,90,7|9,3,-0.08428415925743335
2,90,7|9,4,0.2888138197727784
2,91,6|7,0,0.3502771981814197
2,91,6|7,1,0.16017864365001955
2,91,6|7,2,0.4354106254175124
2,91,6|7,3,0.09489282838455654
2,91,6|7,4,0.48311028268676065
2,92,6|8,0,0.2902457902226609
2,92,6|8,1,0.27009724765160487
2,92,6|8,2,0.4522150818395613
2,92,6|8,3,-0.012108986992412068
2,92,6|8,4,0.5102496096121558
2,93,1|4,0,0.2865217649479563
2,93,1|4,1,0.1774823934929885
2,93,1|4,2,0.43588989435406733
2,93,1|4,3,0.14478512671975205
2,93,1|4,4,0.44213546815247456
2,94,6|8,0,0.2902457902226609
2,94,6|8,1,0.27009724765160487
2,94,6|8,2,0.4522150818395613
2,94,6|8,3,-0.012108986992412068
2,94,6|8,4,0.5102496096121558
2,95,7|8,0,0.29095718698132317
2,95,7|8,1,0.2232952478719928
2,95,7|8,2,0.18499891602515212
2,95,7|8,3,0.18735992234901797
2,95,7|8,4,0.39260951177856473
2,96,5|9,0,0.2977308511240907
2,96,5|9,1,0.32591793686653514
2,96,5|9,2,0.3373487100682424
2,96,5|9,3,0.0725999912707851
2,96,5|9,4,0.340661427170692
2,97,3|5,0,0.24903559539234713
2,97,3|5,1,0.20510731139453106
2,97,3|5,2,0.4519872154580671
2,97,3|5,3,0.14721171785959625
2,97,3|5,4,0.468900976846915
2,98,2|7,0,0.385006278487256
2,98,2|7,1,0.2953269258571919
2,98,2|7,2,0.3847123307304155
2,98,2|7,3,0.44379669164255897
2,98,2|7,4,0.6004325171766376
2,99,4|7,0,0.19538712238500955
2,99,4|7,1,0.22719258598820255
2,99,4|7,2,0.1964174946591233
2,99,4|7,3,0.3411551381824127
2,99,4|7,4,0.5151900532404451
2,100,5|6,0,0.4152184799743897
2,100,5|6,1,0.049311367272153794
2,100,5|6,2,0.4567923096952384
2,100,5|6,3,0.19345800157800092
2,100,5|6,4,0.4498608896412261
2,101,5|7,0,0.19851440394751016
2,101,5|7,1,0.25072909556945994
2,101,5|7,2,0.27616370100541104
2,101,5|7,3,-0.15896375455918474
2,101,5|7,4,0.4017943245558392
2,102,4|7,0,0.19538712238500955
2,102,4|7,1,0.22719258598820255
2,102,4|7,2,0.1964174946591233
2,102,4|7,3,0.3411551381824127
2,102,4|7,4,0.5151900532404451
2,103,5|8,0,0.18082204695690413
2,103,5|8,1,0.3030784500008904
2,103,5|8,2,0.32118202741878643
2,103,5|8,3,0.1271351885258779
2,103,5|8,4,0.44073912347021704
2,104,3|5,0,0.24903559539234713
2,104,3|5,1,0.20510731139453106
2,104,3|5,2,0.4519872154580671
2,104,3|5,3,0.14721171785959625
2,104,3|5,4,0.468900976846915
2,105,8|10,0,0.2548509505142025
2,105,8|10,1,0.34207444419765465
2,105,8|10,2,0.5664093865889943
2,105,8|10,3,0.09980541635777128
2,105,8|10,4,0.44421088265673625
2,106,8|10,0,0.2548509505142025
2,106,8|10,1,0.34207444419765465
2,106,8|10,2,0.5664093865889943
2,106,8|10,3,0.09980541635777128
2,106,8|10,4,0.44421088265673625
2,107,6|7,0,0.3502771981814197
2,107,6|7,1,0.16017864365001955
2,107,6|7,2,0.4354106254175124
2,107,6|7,3,0.09489282838455654
